id	item_group_id	title	description	link	image_link	additional_image_link	price	availability	condition	brand	mpn	gtin	size	color	shipping
AD-15195200009-39 1/3	15614518624604	Adidas Originals Black Suede Low Top Sneakers	The Adidas Gazelle Bold W IE0876 women’s sneakers are a perfect blend of style and comfort. Made from 100% suede, these shoes provide a soft and durable feel. The iconic design is enhanced by distinctive details, such as the three lateral stripes that characterize the Adidas brand. The rubber sole offers excellent grip and cushioning, making them ideal for everyday use or more casual occasions. Perfect for completing a sporty-chic look, these sneakers are a must-have in every modern woman’s wardrobe. Season: SS25	https://noavvo.com/products/adidas-originals-black-suede-leather-low-top-sneakers?variant=57795597009244	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313812828.jpg?v=1780918239	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313845596.jpg?v=1780918252,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313878364.jpg?v=1780918265,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313911132.jpg?v=1780918278	98.00 GBP	in stock	new	Adidas Originals	AD-15195200009-39 1/3	4067886767669	39 1/3	Black	GB:::9.99 GBP
AD-15195200009-40 2/3	15614518624604	Adidas Originals Black Suede Low Top Sneakers	The Adidas Gazelle Bold W IE0876 women’s sneakers are a perfect blend of style and comfort. Made from 100% suede, these shoes provide a soft and durable feel. The iconic design is enhanced by distinctive details, such as the three lateral stripes that characterize the Adidas brand. The rubber sole offers excellent grip and cushioning, making them ideal for everyday use or more casual occasions. Perfect for completing a sporty-chic look, these sneakers are a must-have in every modern woman’s wardrobe. Season: SS25	https://noavvo.com/products/adidas-originals-black-suede-leather-low-top-sneakers?variant=57795597042012	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313812828.jpg?v=1780918239	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313845596.jpg?v=1780918252,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313878364.jpg?v=1780918265,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313911132.jpg?v=1780918278	98.00 GBP	in stock	new	Adidas Originals	AD-15195200009-40 2/3	4067886770881	40 2/3	Black	GB:::9.99 GBP
AD-15195200009-41 1/3	15614518624604	Adidas Originals Black Suede Low Top Sneakers	The Adidas Gazelle Bold W IE0876 women’s sneakers are a perfect blend of style and comfort. Made from 100% suede, these shoes provide a soft and durable feel. The iconic design is enhanced by distinctive details, such as the three lateral stripes that characterize the Adidas brand. The rubber sole offers excellent grip and cushioning, making them ideal for everyday use or more casual occasions. Perfect for completing a sporty-chic look, these sneakers are a must-have in every modern woman’s wardrobe. Season: SS25	https://noavvo.com/products/adidas-originals-black-suede-leather-low-top-sneakers?variant=57795597140316	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313812828.jpg?v=1780918239	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313845596.jpg?v=1780918252,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313878364.jpg?v=1780918265,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-black-suede-leather-low-top-sneakers__70089313911132.jpg?v=1780918278	98.00 GBP	in stock	new	Adidas Originals	AD-15195200009-41 1/3	4067886767683	41 1/3	Black	GB:::9.99 GBP
AD-18729400008-42 2/3	15592282521948	Adidas Originals White Synthetic Athletic Sneakers	The Originals MEGARIDE Men's Sneakers by Adidas perfectly blend contemporary style with advanced performance. The innovative outsole design features circular cushioning elements for superior comfort and excellent stability while walking. The upper showcases perforated details for enhanced breathability, while the iconic three side stripes add a distinctive Adidas touch. Material: Synthetic.	https://noavvo.com/products/adidas-originals-white-synthetic-athletic-sneakers?variant=57682900418908	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141030748.jpg?v=1780918374	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141063516.jpg?v=1780918389,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141096284.jpg?v=1780918401,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141129052.jpg?v=1780918414	135.00 GBP	in stock	new	Adidas Originals	AD-18729400008-42 2/3	4067904502692	42 2/3	White	GB:::9.99 GBP
AD-18729400008-EU42/US9	15592282521948	Adidas Originals White Synthetic Athletic Sneakers	The Originals MEGARIDE Men's Sneakers by Adidas perfectly blend contemporary style with advanced performance. The innovative outsole design features circular cushioning elements for superior comfort and excellent stability while walking. The upper showcases perforated details for enhanced breathability, while the iconic three side stripes add a distinctive Adidas touch. Material: Synthetic.	https://noavvo.com/products/adidas-originals-white-synthetic-athletic-sneakers?variant=57682900353372	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141030748.jpg?v=1780918374	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141063516.jpg?v=1780918389,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141096284.jpg?v=1780918401,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141129052.jpg?v=1780918414	135.00 GBP	in stock	new	Adidas Originals	AD-18729400008-EU42/US9	4067904502661	EU42/US9	White	GB:::9.99 GBP
AD-18729400008-43 1/3	15592282521948	Adidas Originals White Synthetic Athletic Sneakers	The Originals MEGARIDE Men's Sneakers by Adidas perfectly blend contemporary style with advanced performance. The innovative outsole design features circular cushioning elements for superior comfort and excellent stability while walking. The upper showcases perforated details for enhanced breathability, while the iconic three side stripes add a distinctive Adidas touch. Material: Synthetic.	https://noavvo.com/products/adidas-originals-white-synthetic-athletic-sneakers?variant=57682900287836	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141030748.jpg?v=1780918374	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141063516.jpg?v=1780918389,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141096284.jpg?v=1780918401,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141129052.jpg?v=1780918414	135.00 GBP	in stock	new	Adidas Originals	AD-18729400008-43 1/3	4067904502814	43 1/3	White	GB:::9.99 GBP
AD-18729400008-44 2/3	15592282521948	Adidas Originals White Synthetic Athletic Sneakers	The Originals MEGARIDE Men's Sneakers by Adidas perfectly blend contemporary style with advanced performance. The innovative outsole design features circular cushioning elements for superior comfort and excellent stability while walking. The upper showcases perforated details for enhanced breathability, while the iconic three side stripes add a distinctive Adidas touch. Material: Synthetic.	https://noavvo.com/products/adidas-originals-white-synthetic-athletic-sneakers?variant=57682900320604	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141030748.jpg?v=1780918374	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141063516.jpg?v=1780918389,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141096284.jpg?v=1780918401,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141129052.jpg?v=1780918414	135.00 GBP	in stock	new	Adidas Originals	AD-18729400008-44 2/3	4067904502715	44 2/3	White	GB:::9.99 GBP
AD-18729400008-EU44/US11	15592282521948	Adidas Originals White Synthetic Athletic Sneakers	The Originals MEGARIDE Men's Sneakers by Adidas perfectly blend contemporary style with advanced performance. The innovative outsole design features circular cushioning elements for superior comfort and excellent stability while walking. The upper showcases perforated details for enhanced breathability, while the iconic three side stripes add a distinctive Adidas touch. Material: Synthetic.	https://noavvo.com/products/adidas-originals-white-synthetic-athletic-sneakers?variant=57682900255068	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141030748.jpg?v=1780918374	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141063516.jpg?v=1780918389,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141096284.jpg?v=1780918401,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141129052.jpg?v=1780918414	135.00 GBP	in stock	new	Adidas Originals	AD-18729400008-EU44/US11	4067904502685	EU44/US11	White	GB:::9.99 GBP
AD-18729400008-45 1/3	15592282521948	Adidas Originals White Synthetic Athletic Sneakers	The Originals MEGARIDE Men's Sneakers by Adidas perfectly blend contemporary style with advanced performance. The innovative outsole design features circular cushioning elements for superior comfort and excellent stability while walking. The upper showcases perforated details for enhanced breathability, while the iconic three side stripes add a distinctive Adidas touch. Material: Synthetic.	https://noavvo.com/products/adidas-originals-white-synthetic-athletic-sneakers?variant=57682900222300	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141030748.jpg?v=1780918374	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141063516.jpg?v=1780918389,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141096284.jpg?v=1780918401,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/adidas-originals-white-synthetic-athletic-sneakers__69902141129052.jpg?v=1780918414	135.00 GBP	in stock	new	Adidas Originals	AD-18729400008-45 1/3	4067904502630	45 1/3	White	GB:::9.99 GBP
AL-705660W4AAQ1070-EU41.5/US8.5	15513026593116	Alexander McQueen Black Canvas Chunky Sneakers	The Tread Slick Sneakers by Alexander McQueen feature a lace-up front closure and heel pull for easy donning. Featuring a platform sole and a round rubber toe, they also feature the logo imprinted on the side, combining style and comfort in a contemporary design. Material: Canvas. Made in Italy.	https://noavvo.com/products/black-canvas-chunky-sneakers?variant=57199111897436	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446338908.jpg?v=1780925143	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446371676.jpg?v=1780925158,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446404444.jpg?v=1780925173,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446437212.jpg?v=1780925186	362.00 GBP	in stock	new	Alexander McQueen	AL-705660W4AAQ1070-EU41.5/US8.5		EU41.5/US8.5	Black	GB:::0.00 GBP
AL-705660W4AAQ1070-EU42/US9	15513026593116	Alexander McQueen Black Canvas Chunky Sneakers	The Tread Slick Sneakers by Alexander McQueen feature a lace-up front closure and heel pull for easy donning. Featuring a platform sole and a round rubber toe, they also feature the logo imprinted on the side, combining style and comfort in a contemporary design. Material: Canvas. Made in Italy.	https://noavvo.com/products/black-canvas-chunky-sneakers?variant=57199111930204	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446338908.jpg?v=1780925143	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446371676.jpg?v=1780925158,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446404444.jpg?v=1780925173,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446437212.jpg?v=1780925186	362.00 GBP	in stock	new	Alexander McQueen	AL-705660W4AAQ1070-EU42/US9		EU42/US9	Black	GB:::0.00 GBP
AL-705660W4AAQ1070-EU41/US8	15513026593116	Alexander McQueen Black Canvas Chunky Sneakers	The Tread Slick Sneakers by Alexander McQueen feature a lace-up front closure and heel pull for easy donning. Featuring a platform sole and a round rubber toe, they also feature the logo imprinted on the side, combining style and comfort in a contemporary design. Material: Canvas. Made in Italy.	https://noavvo.com/products/black-canvas-chunky-sneakers?variant=57199111995740	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446338908.jpg?v=1780925143	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446371676.jpg?v=1780925158,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446404444.jpg?v=1780925173,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446437212.jpg?v=1780925186	362.00 GBP	in stock	new	Alexander McQueen	AL-705660W4AAQ1070-EU41/US8		EU41/US8	Black	GB:::0.00 GBP
AL-705660W4AAQ1070-EU42.5/US9.5	15513026593116	Alexander McQueen Black Canvas Chunky Sneakers	The Tread Slick Sneakers by Alexander McQueen feature a lace-up front closure and heel pull for easy donning. Featuring a platform sole and a round rubber toe, they also feature the logo imprinted on the side, combining style and comfort in a contemporary design. Material: Canvas. Made in Italy.	https://noavvo.com/products/black-canvas-chunky-sneakers?variant=57199112028508	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446338908.jpg?v=1780925143	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446371676.jpg?v=1780925158,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446404444.jpg?v=1780925173,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446437212.jpg?v=1780925186	362.00 GBP	in stock	new	Alexander McQueen	AL-705660W4AAQ1070-EU42.5/US9.5		EU42.5/US9.5	Black	GB:::0.00 GBP
AL-705660W4AAQ1070-EU43/US10	15513026593116	Alexander McQueen Black Canvas Chunky Sneakers	The Tread Slick Sneakers by Alexander McQueen feature a lace-up front closure and heel pull for easy donning. Featuring a platform sole and a round rubber toe, they also feature the logo imprinted on the side, combining style and comfort in a contemporary design. Material: Canvas. Made in Italy.	https://noavvo.com/products/black-canvas-chunky-sneakers?variant=57199112061276	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446338908.jpg?v=1780925143	https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446371676.jpg?v=1780925158,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446404444.jpg?v=1780925173,https://cdn.shopify.com/s/files/1/1007/3266/6204/files/black-canvas-chunky-sneakers__69329446437212.jpg?v=1780925186	362.00 GBP	in stock	new	Alexander McQueen	AL-705660W4AAQ1070-EU43/US10		EU43/US10	Black	GB:::0.00 GBP
